축구는 11 명이 한 팀입니다. 95명의 선수를 똑같이 나누어 축구팀을 만들려고 합니다. 남는 선수가 없도록 팀을 만들려면 몇 명이 더 있어야 합니까?	0
리본 하나를 만드는데 끈 27cm가 필요합니다. 끈 685cm로 리본을 만들고 남는 끈의 길이는 얼마일까요?	0
꽃 한 개를 만드는 데 리본 25cm가 필요합니다. 리본 82.3cm로 꽃을 만들 때 남는 리본의 길이는 몇 cm일까요?	0
급식 시간에 학생들이 좋아하는 새우튀김이 나왔습니다. 4학년 학생 96명을 위해 튀긴 새우튀김은 215개입니다. 똑같이 최대한 나누어 주고 남은 새우튀김은 몇 개일까요?	0
길이가 94cm인 색 테이프가 있습니다. 리본 한 개를 만드는 데 색 테이프가 4cm 필요할 때 리본을 만들고 난 뒤 남는 색 테이프는 몇 cm인지 구하시오.	0
서울에서 부산까지 가는 기차는 7회, 버스는 5회, 비행기는 3회 운행합니다. 서울에서 부산까지 가는 경우의 수를 구하시오.	1
흰 구슬 3개, 검은 구슬 4개가 들어 있는 주머니에서 임의로 한 개의 구슬을 꺼낼 때, 모든 경우의 수를 구하시오.	1
학교에서 독서 권장으로 한 학생마다 책 한 권씩 읽기로 했습니다. 은지가 도서관에 책을 빌리러 갔는데 도서관에 외국어책 150권, 과학기술책 200권, 소설 100권이 있었습니다. 은지가 책 한권을 빌리는데 모두 몇 가지 방법이 있습니까?	1
학교에서 독서 권장으로 한 학생마다 책 한 권씩 읽기로 했습니다. 은지가 도서관에 책을 빌리러 갔는데 도서관에 외국어책 150권, 과학기술책 200권, 소설 100권이 있었습니다. 은지가 책 한권을 빌리는 방법은 모두 몇 가지입니까?	1
무게가 1g, 5g, 25g, 125g인 추가 각각 1개씩 있습니다. 이들을 일부 또는 전부를 사용하여 모두 몇 가지의 무게를 잴 수 있는지 구하시오.	1
6, 4, 9, 13, 7, 55가 있습니다. 그중에서 평균값보다 큰 수는 모두 몇 개입니까?	2
6, 4, 9, 13, 7, 55가 있습니다. 그중에서 평균값보다 작은 수는 모두 몇 개입니까?	2
7개의 수 21, 32, 35, 67, 43, 27, 90가 있습니다. 그 중에서 가장 중간에 있는 수는 얼마입니까?	2
5개의 수 23, 54, 56, 32, 29가 있습니다. 이 중에서 가장 중간에 있는 값은 무엇입니까?	2
6개의 수 33, 45, 51, 11, 4, 22가 있습니다. 이 중에서 가장 중간에 있는 값은 무엇입니까?	2
4개의 수 51, 11, 4, 22가 있습니다. 이 중에서 가장 중간에 있는 값은 무엇입니까?	2
자연수 A를 5로 나누면 나머지가 4가 되고, 4로 나누면 나머지가 1이 됩니다. A의 값을 구하시오.	3
A를 7로 나누면 몫은 B이고 나머지는 C가 됩니다. A, B, C는 자연수입니다. 이 식에서 몫과 나머지가 같습니다. A중 가장 작은 수를 구하시오.	3
두 자연수 A, B는 모두 두 자리 수이다. A의 40 배와 B의 7 배와의 합은 1832이고, B의 십의 자리의 숫자는 1이라고 한다. A를 구하여라.	3
자연수 A, B, C가 있습니다. A는 B보다 65 더 크고,B는 C보다 35 더 큽니다. B의 3배와 C의 2배의 합은 A의 2배보다 35 더 작습니다. 자연수 A를 구하시오.	3
A와 A의 3/5과의 합이 160이고, B와 B의 1/3과의 합이 96일 때, A와 B의 합은 얼마인지 구하시오.	3
어떤 수에서 253을 더해야 할 것을 잘못하여 13을 더하였더니 584가 되었습니다. 바르게 계산한 값에 3를 더한 값을 구하시오.	4
어떤 수에서 253을 더해야 할 것을 잘못하여 13을 더하였더니 584가 되었습니다. 바르게 계산한 값에 3을 뺀 값을 구하시오.	4
어떤 수에서 253을 나눠야 할 것을 잘못하여 곱했더니 584이 되었습니다. 어떤 수에 3를 나눈 수의 나머지에서 몫을 나눈 수를 구하시오.	4
어떤 수에서 253을 나눠야 할 것을 잘못하여 곱했더니 584가 되었습니다. 바르게 계산한 값을 구하시오.	4
253에서 어떤 수를 더해야 할 것을 잘못하여 곱했더니 584이 되었습니다. 어떤 수를 구하시오.	4
13을 어떤 수에 뺐더니 41이 되었습니다. 어떤 수는 얼마일까요?	4
정국이네 농장에는 소가 32마리 있고, 유나네 농장에는 닭이 24마리 있습니다. 어디 농장의 동물이 더 많습니까?	5
석진이는 시험에서 수학 95점을 받았습니다. 은지는 수학 96점 받았습니다. 누가 많은 점수를 받았습니까?	5
과학 시험에서 지민이는 90점, 호석이는 93점, 윤기는 89점, 은지는 97점을 받았습니다. 누가 많은 점수를 받았습니까?	5
동화책을 민영이는 4권, 유정이는 7권 읽었습니다. 동화책을 더 많이 읽은 사람은 누구일까요?	5
석진이는 물통에 3리터 채웠고, 태형이는 물통에 6리터 채웠습니다. 누가 더 많이 채웠습니까?	5
정오각형에서 한 변의 길이가 6cm일 때 모든 변의 길이는 몇 cm 입니까?	6
정오각형의 한변의 길이가 8cm일 때 둘레의 길이는 몇 cm 입니까?	6
정육각형에서 한 변의 길이가 5cm일 때 모든 변의 길이의 합은 몇 cm 입니까?	6
정육각형의 한 변의 길이가 8cm일 때 둘레의 길이는 몇 cm 입니까?	6
평행사변형에서 이웃한 두 변의 길이가 각각 3cm, 5cm일 때 평행사변형의 둘레의 길이는 몇 cm 입니까?	6
평행사변형에서 서로 길이가 다른 두 변의 길이가 각각 3cm, 5cm일 때 평행사변형의 둘레의 길이는 몇 cm 입니까?	6

